Id,PID,MS SubClass,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Land Slope,Condition 1,Condition 2,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,has_garage,has_vnr,has_bsmt,has_alley,has_fireplace,has_pool,has_fence,zone_C (all),zone_FV,zone_I (all),zone_RH,zone_RL,zone_RM,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,total_full_bath,total_half_bath,lot_size,year_built_remod/add,area_rms_abvgrd,bathrooms,garage_size,garage_cond_qual,has_condition,bsmtfin_sf1_total_sf,beds_baths,func_overall_qual,lot_area_zone_C (all),lot_area_zone_FV,lot_area_zone_I (all),lot_area_zone_RH,lot_area_zone_RL,lot_area_zone_RM,house_style_bldg_type_2fmCon,house_style_bldg_type_Duplex,house_style_bldg_type_Twnhs,house_style_bldg_type_TwnhsE,SalePrice_preds,errors
109,533352170,60,99.83421866491526,13517,Pave,N/A,IR1,Lvl,4,1,RRAe,Norm,2.0,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,5,1,SBrkr,725,754,0,1479,0,0,2,1,3,1,4,6,8,0,0,Attchd,1976,2,2,475.0,3,3,1.0,0,44,0,0,0,0,0,N/A,0,3,2010,WD ,130500,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1349459.1336936594,3961880,8874,2,950.0,9,1,386425.0,6,48,0,0,0,0,13517,0,0.0,0.0,0.0,0.0,177384.07149878395,-45955.073754438694
544,531379050,60,43.0,11492,Pave,N/A,IR1,Lvl,4,1,Norm,Norm,2.0,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,5,1,SBrkr,913,1209,0,2122,1,0,2,1,4,1,4,8,8,1,3,Attchd,1997,2,2,559.0,3,3,1.0,0,74,0,0,0,0,0,N/A,0,4,2009,WD ,220000,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,494156.0,3986012,16976,2,1118.0,9,0,581581.0,12,56,0,0,0,0,11492,0,0.0,0.0,0.0,0.0,238978.09892231968,-21473.676677506097
153,535304180,20,68.0,7922,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,1.0,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,0,Detchd,1953,1,1,246.0,3,3,1.0,0,52,0,0,0,0,0,N/A,0,1,2010,WD ,109000,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,538696.0,3919671,5285,0,246.0,9,0,772667.0,6,40,0,0,0,0,7922,0,0.0,0.0,0.0,0.0,139652.7751823712,-30614.126892270724
318,916386060,60,73.0,9802,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,2.0,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,Unf,0.0,Unf,0.0,384.0,384.0,GasA,4,1,SBrkr,744,700,0,1444,0,0,2,1,3,1,3,7,8,0,0,BuiltIn,2007,3,2,400.0,3,3,1.0,100,0,0,0,0,0,0,N/A,0,4,2010,WD ,174000,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,715546.0,4026042,10108,2,800.0,9,0,0.0,6,40,0,0,0,0,9802,0,0.0,0.0,0.0,0.0,141601.6534418437,33217.48454465513
255,906425045,50,82.0,14235,Pave,N/A,IR1,Lvl,4,1,Norm,Norm,1.6666666666666667,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,1,Unf,0.0,Unf,0.0,676.0,676.0,GasA,3,1,SBrkr,831,614,0,1445,0,0,2,0,3,1,3,6,8,0,0,Detchd,1957,1,2,484.0,3,3,0.0,0,59,0,0,0,0,0,N/A,0,3,2010,WD ,138500,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1167270.0,3786700,8670,0,968.0,9,0,0.0,6,48,0,0,0,0,14235,0,0.0,0.0,0.0,0.0,129211.40309878447,9010.807417475313
138,535126040,20,137.0,16492,Pave,N/A,IR1,Lvl,4,1,PosA,Norm,1.0,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,5,1,SBrkr,1888,0,0,1888,0,0,2,1,2,1,4,6,5,1,4,Attchd,1966,3,2,578.0,3,3,1.0,0,0,0,0,0,0,0,N/A,0,6,2010,WD ,190000,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2259404.0,3935932,11328,2,1156.0,9,1,374699.0,4,30,0,0,0,0,16492,0,0.0,0.0,0.0,0.0,229589.82009331213,-41158.70848709124
2827,908186070,180,35.0,3675,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,2.0,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,4,1,SBrkr,1072,0,0,1072,1,0,2,0,2,1,3,5,8,0,0,Basment,2005,3,2,525.0,3,3,1.0,0,44,0,0,0,0,0,N/A,0,6,2006,New,140000,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,128625.0,4022030,5360,0,1050.0,9,0,299209.0,6,48,0,0,0,0,0,3675,0.0,0.0,0.0,2.0,142849.03610678433,-2632.242633908754
145,535154050,20,89.8116519172427,12160,Pave,N/A,IR1,Lvl,4,1,Norm,Norm,1.0,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,2,1,SBrkr,1188,0,0,1188,1,0,1,0,3,1,3,6,8,0,0,Attchd,1959,2,2,531.0,3,3,1.0,0,0,0,0,0,0,3,N/A,0,5,2010,COD,142000,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1092109.6873136712,3837681,7128,0,1062.0,9,0,1188000.0,6,40,0,0,0,0,12160,0,0.0,0.0,0.0,0.0,136427.65839596358,6137.447316876089
1942,535353130,20,129.9449131510823,15783,Pave,N/A,Reg,Lvl,4,1,Artery,Norm,1.0,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,Rec,292.0,Unf,0.0,632.0,924.0,GasA,3,1,SBrkr,924,0,0,924,0,0,1,0,2,1,3,6,8,0,0,Detchd,1952,1,1,420.0,3,3,1.0,0,324,0,0,0,0,3,Shed,400,6,2007,WD ,112500,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2050920.5642635317,3810304,5544,0,420.0,9,1,269808.0,2,40,0,0,0,0,15783,0,0.0,0.0,0.0,0.0,119665.37704770404,-3001.3777097651327
1956,535426130,60,70.0,11606,Pave,N/A,IR1,HLS,4,3,Norm,Norm,2.0,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,3,1,SBrkr,1040,1040,0,2080,0,1,1,2,5,1,2,9,8,2,3,Attchd,1969,1,2,504.0,3,3,1.0,335,0,0,0,0,0,0,N/A,0,9,2007,WD ,135000,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,812420.0,3876961,18720,2,1008.0,9,0,676000.0,5,40,0,0,0,0,11606,0,0.0,0.0,0.0,0.0,171897.5206025237,-36741.00885710804
1044,527451290,160,21.0,1680,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,2.0,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,3,1,SBrkr,483,504,0,987,0,0,1,1,2,1,3,4,8,0,0,Detchd,1971,1,1,264.0,3,3,1.0,0,0,0,0,0,0,0,N/A,0,7,2008,COD,85400,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,35280.0,3884841,3948,1,264.0,9,0,186921.0,2,48,0,0,0,0,0,1680,0.0,0.0,2.0,0.0,110306.54151665866,-25811.93005189905
2752,906380150,20,64.0,7488,Pave,N/A,IR1,Lvl,4,1,Norm,Norm,1.0,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,5,1,SBrkr,1208,0,0,1208,0,0,2,0,2,1,4,6,8,0,0,Attchd,2005,2,2,632.0,3,3,1.0,105,58,0,0,0,0,0,N/A,0,2,2006,WD ,183600,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,479232.0,4020025,7248,0,1264.0,9,0,474744.0,4,56,0,0,0,0,7488,0,0.0,0.0,0.0,0.0,187304.9142802633,-2957.47668384359
807,906226060,70,120.0,26400,Pave,N/A,Reg,Bnk,4,1,Feedr,Norm,2.0,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,N/A,0.0,N/A,0.0,0.0,0.0,GasA,5,1,SBrkr,1288,728,0,2016,0,0,1,0,4,1,3,7,5,1,3,Attchd,1900,1,2,576.0,3,3,0.5,0,0,0,0,0,0,0,N/A,0,6,2009,WD ,131000,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3168000.0,3773160,14112,0,1152.0,9,1,0.0,4,25,0,0,0,0,26400,0,0.0,0.0,0.0,0.0,161327.13905043362,-31670.04806014619
